post_id,post_type,platform,category,likes,shares,comments,views,engagement_rate,ctr,country,region,language,festival_relevance,relevant_festivals,timestamp,month,day_of_week,ad_spend,post_reach,age_group,gender
21,carousel,Twitter,Politics,910,1185,67,12397,0.17,0.1,Japan,Urban,Japanese,Yes,"Cherry Blossom Festival, Obon",2024-07-25 05:08:59,July,Thursday,908.84,9186,55+,Female
22,reel,Twitter,Movies,4246,70,75,6636,0.66,0.01,South Africa,Rural,English,No,Heritage Day,2024-08-11 07:12:26,August,Sunday,3426.05,4873,55+,Other
23,reel,Twitter,Movies,4485,750,365,2050,2.73,0.37,South Africa,Urban,Zulu,No,Heritage Day,2024-02-03 02:59:02,February,Saturday,3750.74,1460,18-24,Female
24,static_image,TikTok,Education,0,0,0,0,0.0,0.0,Indonesia,Rural,Indonesian,No,None,2024-02-18 12:33:32,February,Sunday,0.0,0,25-34,Other
25,carousel,TikTok,Health,6015,1360,111,11685,0.64,0.12,Greece,Rural,Greek,Yes,"Easter, Carnival",2024-08-16 08:59:52,August,Friday,2106.82,8479,45-54,Female
26,reel,Twitter,Food,480,760,212,4145,0.35,0.18,South Korea,Urban,Korean,No,"Chuseok, Seollal",2024-12-13 15:59:05,December,Friday,2944.51,3716,55+,Other
27,carousel,Twitter,Politics,6516,100,129,2685,2.51,0.04,Italy,Urban,Italian,Yes,"Venice Carnival, Easter",2024-01-28 21:42:49,January,Sunday,2906.65,1622,55+,Other
28,carousel,YouTube,Health,3699,889,92,1714,2.73,0.52,Germany,Urban,German,Yes,Oktoberfest,2024-05-12 10:43:29,May,Sunday,3524.31,1491,25-34,Female
29,static_image,TikTok,Technology,3925,671,128,2013,2.35,0.33,Mexico,Urban,Spanish,Yes,"Day of the Dead, Cinco de Mayo",2024-06-09 18:27:49,June,Sunday,149.7,1579,55+,Other
30,video,TikTok,Movies,1371,978,223,480,5.36,2.04,France,Urban,French,No,Bastille Day,2024-12-17 19:05:02,December,Tuesday,1312.59,303,55+,Male
31,video,Twitter,Travel,1307,126,494,7190,0.27,0.02,Saudi Arabia,Urban,Arabic,No,"Eid al-Fitr, Eid al-Adha",2024-06-08 13:48:14,June,Saturday,116.69,6085,45-54,Other
32,reel,TikTok,Movies,1767,213,537,5643,0.45,0.04,Canada,Rural,English,No,,2024-02-16 01:34:55,February,Friday,4610.55,4170,18-24,Female
33,carousel,YouTube,Travel,0,0,0,0,0.0,0.0,China,Rural,Mandarin,No,None,2024-10-26 04:13:04,October,Saturday,0.0,0,25-34,Female
34,reel,YouTube,Sports,4905,743,110,7761,0.74,0.1,Italy,Urban,Italian,No,"Venice Carnival, Easter",2024-01-27 16:14:53,January,Saturday,633.79,5355,55+,Other
35,reel,Instagram,Fashion,4707,212,391,248,21.41,0.85,Australia,Urban,English,No,"Australia Day, Melbourne Cup",2024-04-16 08:14:23,April,Tuesday,347.62,164,25-34,Male
36,static_image,Instagram,Gaming,4016,208,8,2535,1.67,0.08,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-11-12 16:55:12,November,Tuesday,3478.21,1912,35-44,Male
37,video,YouTube,Movies,5181,1384,678,13603,0.53,0.1,India,Rural,Tamil,No,"Diwali, Holi, Eid",2024-06-16 12:56:30,June,Sunday,1601.82,11655,18-24,Other
38,static_image,Facebook,Entertainment,3357,523,424,808,5.33,0.65,Brazil,Rural,Portuguese,No,Carnival,2024-06-20 14:24:44,June,Thursday,3413.98,609,45-54,Other
39,video,Instagram,Sports,1961,395,269,9798,0.27,0.04,Canada,Urban,French,No,,2024-08-28 06:15:56,August,Wednesday,2256.22,6667,45-54,Female
40,carousel,Instagram,Music,4182,1462,589,2215,2.81,0.66,United Kingdom,Urban,English,No,"Christmas, Easter, Bonfire Night",2024-08-26 15:29:52,August,Monday,630.59,1726,25-34,Male
41,reel,Twitter,Entertainment,3555,790,199,3278,1.39,0.24,United Kingdom,Urban,English,Yes,"Christmas, Easter, Bonfire Night",2024-09-14 16:45:34,September,Saturday,2255.57,2448,35-44,Female
42,reel,Twitter,Movies,4360,161,421,2736,1.81,0.06,Mexico,Rural,Spanish,Yes,"Day of the Dead, Cinco de Mayo",2024-03-02 20:42:31,March,Saturday,4626.12,1698,45-54,Other
43,carousel,Facebook,Social Issues,327,1159,180,13363,0.12,0.09,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-02-04 23:23:03,February,Sunday,405.56,11368,25-34,Male
44,video,YouTube,Sports,1300,308,266,4439,0.42,0.07,Italy,Rural,Italian,No,"Venice Carnival, Easter",2024-01-04 12:19:26,January,Thursday,4042.11,3672,55+,Male
45,carousel,Instagram,Finance,1102,510,86,6227,0.27,0.08,France,Urban,French,No,Bastille Day,2024-08-13 04:05:29,August,Tuesday,2435.15,4263,45-54,Other
46,video,Twitter,Technology,882,1420,33,6568,0.36,0.22,United Kingdom,Urban,English,Yes,"Christmas, Easter, Bonfire Night",2024-09-17 00:30:11,September,Tuesday,3398.84,5491,55+,Other
47,video,TikTok,Politics,4007,693,202,9192,0.53,0.08,South Africa,Rural,Afrikaans,No,Heritage Day,2024-03-04 20:12:23,March,Monday,996.8,8239,45-54,Male
48,static_image,Instagram,Health,622,973,284,4133,0.45,0.24,Greece,Rural,Greek,No,"Easter, Carnival",2024-10-30 08:22:06,October,Wednesday,3175.72,2906,45-54,Other
49,carousel,Instagram,Education,3344,785,347,596,7.51,1.32,United States,Urban,English,No,"Thanksgiving, Independence Day, Halloween",2024-05-14 16:18:29,May,Tuesday,4854.5,490,55+,Other
50,video,TikTok,Fashion,4699,317,7,3261,1.54,0.1,Egypt,Rural,Arabic,No,"Ramadan, Eid al-Fitr",2024-10-11 03:28:15,October,Friday,2141.67,2612,55+,Female
51,carousel,Facebook,Travel,3465,510,167,7407,0.56,0.07,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-04-18 14:55:47,April,Thursday,3044.64,5142,18-24,Female
52,video,Facebook,Technology,4006,198,286,1570,2.86,0.13,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-12-07 12:46:31,December,Saturday,3479.9,1025,25-34,Female
53,static_image,YouTube,Education,3012,949,436,8752,0.5,0.11,United Kingdom,Urban,English,Yes,"Christmas, Easter, Bonfire Night",2024-01-01 17:23:20,January,Monday,1221.37,5554,35-44,Male
54,video,Facebook,Social Issues,169,1119,378,2305,0.72,0.49,Turkey,Rural,Turkish,No,"Republic Day, Ramadan",2024-04-08 08:18:13,April,Monday,4884.1,1864,35-44,Male
55,carousel,Instagram,Sports,6643,274,417,1674,4.38,0.16,Germany,Rural,German,No,Oktoberfest,2024-08-28 00:10:13,August,Wednesday,3095.94,1149,25-34,Other
56,static_image,Facebook,Gaming,897,828,465,3033,0.72,0.27,Indonesia,Urban,Indonesian,Yes,,2024-08-15 19:05:27,August,Thursday,810.01,2154,25-34,Other
57,reel,TikTok,Technology,4206,216,114,2398,1.89,0.09,United States,Rural,English,No,"Thanksgiving, Independence Day, Halloween",2024-06-22 18:01:12,June,Saturday,196.3,1964,18-24,Male
58,static_image,Instagram,Finance,2432,307,250,6348,0.47,0.05,Australia,Rural,English,No,"Australia Day, Melbourne Cup",2024-06-29 00:24:22,June,Saturday,3491.45,5394,35-44,Male
59,video,Facebook,Entertainment,580,190,663,4609,0.31,0.04,India,Rural,Hindi,Yes,"Diwali, Holi, Eid",2024-01-06 14:48:35,January,Saturday,3602.13,2826,35-44,Other
60,reel,YouTube,Technology,2491,915,102,9942,0.35,0.09,Canada,Rural,French,No,,2024-10-11 03:30:44,October,Friday,4209.45,6235,45-54,Male
61,carousel,TikTok,Sports,4930,890,289,1669,3.66,0.53,Canada,Rural,French,No,,2024-11-10 00:27:43,November,Sunday,2760.52,1309,25-34,Male
62,carousel,Twitter,Social Issues,0,0,0,0,0.0,0.0,China,Urban,Mandarin,No,None,2024-11-10 01:47:25,November,Sunday,0.0,0,45-54,Male
63,carousel,Twitter,Movies,3639,802,140,4108,1.12,0.2,Italy,Urban,Italian,No,"Venice Carnival, Easter",2024-02-12 14:12:22,February,Monday,4873.55,2870,25-34,Female
64,carousel,TikTok,Education,3558,866,426,6349,0.76,0.14,Australia,Rural,English,Yes,"Australia Day, Melbourne Cup",2024-12-13 02:41:35,December,Friday,3822.64,4359,55+,Female
65,carousel,Twitter,Gaming,4901,600,222,9216,0.62,0.07,United Arab Emirates,Urban,English,No,"National Day, Dubai Shopping Festival",2024-03-15 00:01:11,March,Friday,4472.38,6995,55+,Male
66,video,Facebook,Music,4905,377,389,6683,0.85,0.06,South Korea,Urban,Korean,No,"Chuseok, Seollal",2024-12-17 13:06:33,December,Tuesday,2085.54,5914,45-54,Male
67,static_image,Instagram,Sports,1344,645,118,6628,0.32,0.1,Turkey,Rural,Turkish,Yes,"Republic Day, Ramadan",2024-07-23 18:05:29,July,Tuesday,3286.98,4192,25-34,Other
68,carousel,YouTube,Entertainment,6589,864,19,12973,0.58,0.07,Canada,Urban,English,No,,2024-06-19 04:39:37,June,Wednesday,2520.28,9260,25-34,Female
69,static_image,TikTok,Entertainment,3158,794,365,9465,0.46,0.08,China,Urban,Mandarin,No,"Chinese New Year, Mid-Autumn Festival",2024-02-16 17:07:01,February,Friday,2661.26,5857,35-44,Male
70,video,TikTok,Fashion,3936,781,259,6471,0.77,0.12,United Arab Emirates,Urban,English,No,"National Day, Dubai Shopping Festival",2024-05-07 18:16:32,May,Tuesday,554.3,5314,35-44,Other
71,carousel,Facebook,Travel,1773,31,148,9327,0.21,0.0,Japan,Urban,Japanese,Yes,"Cherry Blossom Festival, Obon",2024-10-10 15:38:39,October,Thursday,2169.78,7585,45-54,Female
72,video,TikTok,Travel,3783,97,396,2138,2.0,0.05,Saudi Arabia,Rural,Arabic,No,"Eid al-Fitr, Eid al-Adha",2024-05-20 14:54:51,May,Monday,1743.52,1306,18-24,Other
73,static_image,Facebook,Health,3696,1020,399,13662,0.37,0.07,United Kingdom,Urban,English,No,"Christmas, Easter, Bonfire Night",2024-09-19 18:55:25,September,Thursday,1147.67,8211,35-44,Female
74,carousel,Instagram,Politics,3701,914,85,7926,0.59,0.12,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-12-02 10:27:17,December,Monday,3613.33,6279,35-44,Male
75,reel,YouTube,Movies,2755,968,411,895,4.62,1.08,United Kingdom,Urban,English,No,"Christmas, Easter, Bonfire Night",2024-04-10 08:32:52,April,Wednesday,1589.16,579,35-44,Female
76,carousel,YouTube,Food,5901,378,513,5935,1.14,0.06,France,Urban,French,No,Bastille Day,2024-07-25 11:22:00,July,Thursday,3682.85,4540,55+,Male
77,video,TikTok,Music,4074,222,183,3711,1.21,0.06,Australia,Urban,English,No,"Australia Day, Melbourne Cup",2024-10-22 17:44:58,October,Tuesday,3481.34,2305,18-24,Other
78,static_image,TikTok,Music,0,0,0,0,0.0,0.0,India,Urban,English,No,None,2024-02-04 01:18:08,February,Sunday,0.0,0,45-54,Male
79,static_image,YouTube,Food,4166,288,339,9420,0.51,0.03,Spain,Urban,Spanish,No,"La Tomatina, Running of the Bulls",2024-10-06 11:11:06,October,Sunday,2753.95,6019,55+,Female
80,static_image,YouTube,Gaming,0,0,0,0,0.0,0.0,China,Urban,Mandarin,No,None,2024-10-07 12:03:46,October,Monday,0.0,0,55+,Other
81,reel,Twitter,Travel,2186,913,106,5517,0.58,0.17,United Arab Emirates,Urban,Arabic,Yes,"National Day, Dubai Shopping Festival",2024-11-06 11:36:43,November,Wednesday,4173.77,4828,25-34,Male
82,reel,TikTok,Travel,733,752,229,1827,0.94,0.41,South Korea,Urban,Korean,No,"Chuseok, Seollal",2024-08-17 07:59:35,August,Saturday,1726.24,1244,55+,Female
83,reel,Twitter,Sports,3494,953,433,1333,3.66,0.71,Mexico,Urban,Spanish,No,"Day of the Dead, Cinco de Mayo",2024-09-01 23:21:05,September,Sunday,1542.92,920,45-54,Female
84,reel,TikTok,Finance,1056,851,307,1563,1.42,0.54,Turkey,Rural,Turkish,No,"Republic Day, Ramadan",2024-01-13 20:28:15,January,Saturday,4313.88,1129,18-24,Male
85,static_image,Facebook,Movies,432,119,405,5410,0.18,0.02,Italy,Rural,Italian,No,"Venice Carnival, Easter",2024-12-27 15:54:17,December,Friday,3500.74,4087,55+,Female
86,video,Instagram,Finance,488,606,98,5856,0.2,0.1,United States,Urban,English,No,"Thanksgiving, Independence Day, Halloween",2024-07-25 03:09:14,July,Thursday,2829.94,4388,25-34,Male
87,carousel,Twitter,Health,4295,191,343,7907,0.61,0.02,Egypt,Rural,Arabic,No,"Ramadan, Eid al-Fitr",2024-07-30 22:20:08,July,Tuesday,1697.92,6716,35-44,Other
88,reel,Twitter,Education,2995,755,236,7030,0.57,0.11,South Korea,Urban,Korean,Yes,"Chuseok, Seollal",2024-06-14 06:54:50,June,Friday,3595.8,4872,55+,Male
89,carousel,TikTok,Health,305,879,472,9746,0.17,0.09,Greece,Rural,Greek,No,"Easter, Carnival",2024-03-28 14:53:57,March,Thursday,4058.7,7434,35-44,Male
90,carousel,TikTok,Food,1533,829,472,2473,1.15,0.34,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-09-11 21:29:36,September,Wednesday,436.05,1655,18-24,Other
91,reel,Facebook,Finance,3597,791,215,5127,0.9,0.15,Indonesia,Rural,Indonesian,No,,2024-03-13 03:06:07,March,Wednesday,2387.29,4431,55+,Male
92,video,TikTok,Travel,551,612,187,9436,0.14,0.06,Saudi Arabia,Rural,Arabic,No,"Eid al-Fitr, Eid al-Adha",2024-04-17 11:33:24,April,Wednesday,4210.51,8441,25-34,Female
93,static_image,YouTube,Movies,1983,1138,333,3909,0.88,0.29,United States,Rural,English,No,"Thanksgiving, Independence Day, Halloween",2024-03-13 10:07:54,March,Wednesday,300.65,2866,25-34,Other
94,static_image,Instagram,Technology,2922,989,446,4725,0.92,0.21,South Africa,Urban,English,No,Heritage Day,2024-07-04 02:46:29,July,Thursday,2232.31,3254,18-24,Other
95,reel,Facebook,Technology,562,61,454,3531,0.31,0.02,Turkey,Urban,Turkish,No,"Republic Day, Ramadan",2024-11-07 13:08:41,November,Thursday,80.79,3177,18-24,Other
96,carousel,Twitter,Movies,4278,1476,682,6006,1.07,0.25,Italy,Urban,Italian,No,"Venice Carnival, Easter",2024-07-03 11:29:43,July,Wednesday,3982.97,4009,55+,Female
97,static_image,Twitter,Fashion,0,0,0,0,0.0,0.0,China,Urban,Mandarin,No,None,2024-07-11 02:55:53,July,Thursday,0.0,0,18-24,Female
98,video,Instagram,Movies,2734,806,448,3656,1.09,0.22,Greece,Urban,Greek,Yes,"Easter, Carnival",2024-05-01 10:21:47,May,Wednesday,335.45,3238,18-24,Male
99,reel,Instagram,Entertainment,1709,657,146,5064,0.5,0.13,Saudi Arabia,Urban,Arabic,Yes,"Eid al-Fitr, Eid al-Adha",2024-09-02 15:16:07,September,Monday,541.32,3097,45-54,Female
100,carousel,Instagram,Movies,5707,1336,259,4581,1.59,0.29,United Kingdom,Urban,English,Yes,"Christmas, Easter, Bonfire Night",2024-02-27 16:47:21,February,Tuesday,3760.04,3870,55+,Female
101,reel,Facebook,Health,1018,651,485,2997,0.72,0.22,South Africa,Rural,English,Yes,Heritage Day,2024-01-20 17:34:53,January,Saturday,760.94,2020,25-34,Female
102,video,Instagram,Travel,0,0,0,0,0.0,0.0,China,Urban,Mandarin,No,None,2024-07-08 03:30:46,July,Monday,0.0,0,45-54,Female
103,carousel,Facebook,Finance,1536,327,417,5457,0.42,0.06,Canada,Urban,English,No,,2024-10-14 09:41:13,October,Monday,3174.81,4493,18-24,Female
104,reel,Twitter,Entertainment,1473,33,305,8617,0.21,0.0,United Kingdom,Urban,English,Yes,"Christmas, Easter, Bonfire Night",2024-02-21 03:24:21,February,Wednesday,1920.59,6538,35-44,Other
105,static_image,YouTube,Fashion,2712,963,606,5727,0.75,0.17,United Kingdom,Urban,English,No,"Christmas, Easter, Bonfire Night",2024-04-06 11:39:47,April,Saturday,2260.98,5109,35-44,Other
106,static_image,Facebook,Movies,2355,1389,138,9829,0.39,0.14,South Korea,Urban,Korean,No,"Chuseok, Seollal",2024-03-20 06:06:20,March,Wednesday,708.01,8289,25-34,Female
107,video,Twitter,Finance,2750,955,46,3835,0.98,0.25,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-11-18 12:47:58,November,Monday,4963.01,2630,35-44,Other
108,video,Twitter,Fashion,7035,79,453,12718,0.59,0.01,Turkey,Urban,Turkish,No,"Republic Day, Ramadan",2024-12-03 00:24:32,December,Tuesday,4415.71,10077,55+,Other
109,static_image,Facebook,Music,242,119,283,1536,0.42,0.08,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-04-20 06:06:19,April,Saturday,678.17,1304,55+,Other
110,video,YouTube,Health,3169,711,39,12916,0.3,0.06,France,Rural,French,No,Bastille Day,2024-04-10 22:33:41,April,Wednesday,2513.86,10294,35-44,Other
111,reel,Twitter,Technology,365,90,462,1577,0.58,0.06,Egypt,Urban,Arabic,No,"Ramadan, Eid al-Fitr",2024-10-10 09:59:25,October,Thursday,4528.17,1185,18-24,Female
112,reel,Instagram,Social Issues,548,269,324,1193,0.96,0.23,United Arab Emirates,Urban,Arabic,No,"National Day, Dubai Shopping Festival",2024-05-20 13:15:45,May,Monday,4099.13,1010,25-34,Female
113,video,Instagram,Finance,629,118,25,1941,0.4,0.06,Greece,Urban,Greek,No,"Easter, Carnival",2024-09-14 13:21:54,September,Saturday,3212.79,1336,45-54,Other
114,carousel,YouTube,Finance,4276,951,93,5769,0.92,0.16,Indonesia,Urban,Indonesian,No,,2024-03-18 11:44:27,March,Monday,1702.46,5096,18-24,Female
115,carousel,Facebook,Health,2555,654,142,7349,0.46,0.09,Mexico,Urban,Spanish,No,"Day of the Dead, Cinco de Mayo",2024-05-10 07:57:08,May,Friday,2638.43,5571,18-24,Male
116,reel,Facebook,Fashion,1552,313,161,7148,0.28,0.04,France,Urban,French,Yes,Bastille Day,2024-12-23 14:59:36,December,Monday,2244.59,4700,35-44,Male
117,carousel,TikTok,Entertainment,3484,489,399,4594,0.95,0.11,Turkey,Rural,Turkish,No,"Republic Day, Ramadan",2024-11-02 06:06:21,November,Saturday,3780.99,2769,35-44,Male
118,static_image,Twitter,Fashion,7185,79,225,8047,0.93,0.01,South Africa,Rural,Afrikaans,Yes,Heritage Day,2024-05-21 16:51:11,May,Tuesday,3559.93,7222,45-54,Other
119,video,Facebook,Finance,3652,982,213,7079,0.68,0.14,Greece,Urban,Greek,Yes,"Easter, Carnival",2024-08-27 11:19:51,August,Tuesday,1854.94,5960,25-34,Female
120,video,Instagram,Sports,2787,450,441,7502,0.49,0.06,Australia,Rural,English,No,"Australia Day, Melbourne Cup",2024-10-08 18:00:56,October,Tuesday,240.47,6170,25-34,Male
121,carousel,Twitter,Health,4568,812,220,6234,0.9,0.13,South Africa,Rural,English,Yes,Heritage Day,2024-11-07 17:16:49,November,Thursday,698.0,4834,45-54,Male
122,video,Twitter,Social Issues,865,243,328,8746,0.16,0.03,Germany,Urban,German,No,Oktoberfest,2024-02-20 08:51:32,February,Tuesday,3662.4,6400,45-54,Male
123,reel,Instagram,Entertainment,1532,201,33,6221,0.28,0.03,Brazil,Urban,Portuguese,No,Carnival,2024-07-11 03:47:59,July,Thursday,3191.97,4605,18-24,Male
124,carousel,Twitter,Politics,925,302,113,4429,0.3,0.07,Saudi Arabia,Rural,Arabic,No,"Eid al-Fitr, Eid al-Adha",2024-08-14 19:22:05,August,Wednesday,2410.27,2777,18-24,Male
125,carousel,TikTok,Fashion,4024,648,324,3047,1.64,0.21,United Arab Emirates,Urban,English,Yes,"National Day, Dubai Shopping Festival",2024-09-11 21:39:19,September,Wednesday,490.4,1893,55+,Other
126,static_image,Instagram,Sports,4459,925,154,2522,2.2,0.37,Egypt,Rural,Arabic,No,"Ramadan, Eid al-Fitr",2024-09-16 22:16:42,September,Monday,4328.97,1893,45-54,Male
127,video,Twitter,Finance,243,918,8,5598,0.21,0.16,Germany,Urban,German,Yes,Oktoberfest,2024-05-05 04:00:39,May,Sunday,2573.85,4881,25-34,Other
128,reel,YouTube,Fashion,7329,318,7,7353,1.04,0.04,Indonesia,Urban,Indonesian,No,,2024-08-22 03:27:23,August,Thursday,4023.5,5492,18-24,Male
129,video,YouTube,Gaming,7161,940,424,9700,0.88,0.1,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-03-19 18:59:16,March,Tuesday,634.1,5885,18-24,Other
130,video,Facebook,Politics,5839,882,178,11230,0.61,0.08,Saudi Arabia,Rural,Arabic,No,"Eid al-Fitr, Eid al-Adha",2024-09-10 13:15:13,September,Tuesday,3326.66,9934,18-24,Male
131,static_image,Instagram,Politics,0,0,0,0,0.0,0.0,China,Urban,Mandarin,No,None,2024-01-13 16:15:23,January,Saturday,0.0,0,35-44,Male
132,carousel,Instagram,Health,2057,954,178,2779,1.15,0.34,United States,Rural,English,No,"Thanksgiving, Independence Day, Halloween",2024-05-23 04:38:22,May,Thursday,898.03,2022,35-44,Other
133,video,Facebook,Education,1000,396,424,14745,0.12,0.03,Egypt,Urban,Arabic,No,"Ramadan, Eid al-Fitr",2024-02-15 18:49:04,February,Thursday,3338.77,10173,18-24,Other
134,static_image,Facebook,Technology,5034,520,117,13456,0.42,0.04,Australia,Rural,English,No,"Australia Day, Melbourne Cup",2024-04-13 08:01:21,April,Saturday,3558.12,10375,35-44,Male
135,video,Twitter,Travel,4399,117,517,14470,0.35,0.01,Canada,Urban,French,No,,2024-11-29 17:42:33,November,Friday,4596.4,11179,35-44,Female
136,reel,Twitter,Social Issues,4056,1425,381,9520,0.62,0.15,Spain,Urban,Spanish,Yes,"La Tomatina, Running of the Bulls",2024-03-16 13:40:22,March,Saturday,4532.56,6731,35-44,Other
137,reel,Twitter,Health,390,882,28,7017,0.19,0.13,Egypt,Urban,Arabic,Yes,"Ramadan, Eid al-Fitr",2024-03-16 10:26:15,March,Saturday,1826.51,5294,35-44,Other
138,static_image,YouTube,Social Issues,1979,11,82,8591,0.24,0.0,Japan,Urban,Japanese,Yes,"Cherry Blossom Festival, Obon",2024-09-06 14:39:27,September,Friday,2021.94,6343,25-34,Female
139,video,Instagram,Finance,2814,364,436,4491,0.8,0.08,Canada,Urban,English,No,,2024-02-10 04:06:32,February,Saturday,4473.07,3661,18-24,Male
140,video,Facebook,Education,1073,846,120,7155,0.28,0.12,France,Urban,French,No,Bastille Day,2024-03-05 18:11:17,March,Tuesday,3935.42,5836,45-54,Other
141,carousel,Instagram,Social Issues,2646,503,301,5579,0.62,0.09,Italy,Rural,Italian,Yes,"Venice Carnival, Easter",2024-02-21 21:05:20,February,Wednesday,4295.02,4576,25-34,Female
142,static_image,TikTok,Finance,307,1272,490,8334,0.25,0.15,Turkey,Urban,Turkish,Yes,"Republic Day, Ramadan",2024-11-25 08:48:17,November,Monday,232.43,7013,25-34,Male
143,carousel,Facebook,Food,803,138,452,8386,0.17,0.02,Egypt,Rural,Arabic,No,"Ramadan, Eid al-Fitr",2024-12-11 05:03:32,December,Wednesday,2554.41,6326,35-44,Female
144,carousel,TikTok,Entertainment,2261,495,392,2712,1.16,0.18,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-01-23 17:13:12,January,Tuesday,3334.35,1904,25-34,Other
145,video,Facebook,Health,4161,500,360,3166,1.59,0.16,United Kingdom,Urban,English,No,"Christmas, Easter, Bonfire Night",2024-11-16 03:48:30,November,Saturday,1896.48,2054,18-24,Male
146,carousel,Instagram,Technology,4338,303,182,965,5.0,0.31,United States,Urban,English,Yes,"Thanksgiving, Independence Day, Halloween",2024-03-12 16:19:51,March,Tuesday,4065.53,761,18-24,Male
